area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;upm;id_vivienda;id_hogar;fexp;periodo
1;010150;006701;009;07;1;3;3;2;2;2;2;2;2;2;2;1;3;2;1;2;2;2;2;2;3;3;3;3;2713;010150006701;01015000670100907;010150006701009071;123,712658503285;201909
1;010150;007002;012;01;1;3;2;2;2;3;2;2;2;3;2;3;2;3;2;3;2;2;2;2;2;2;3;2;2711;010150007002;01015000700201201;010150007002012011;114,810591342212;201909
1;010150;007002;012;02;1;3;2;2;2;3;2;2;2;2;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2711;010150007002;01015000700201202;010150007002012021;114,810591342212;201909
1;010150;007002;012;03;1;3;2;2;3;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;3;2;2711;010150007002;01015000700201203;010150007002012031;114,810591342212;201909
1;010150;007002;012;04;1;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;2;3;2;2711;010150007002;01015000700201204;010150007002012041;114,810591342212;201909
1;010150;007002;012;05;1;3;2;2;2;3;2;2;2;2;2;2;3;2;3;2;3;2;2;2;3;2;2;2;2711;010150007002;01015000700201205;010150007002012051;114,810591342212;201909
1;010150;007002;012;06;1;2;2;2;2;3;2;2;2;2;2;3;2;3;2;3;2;2;2;2;2;2;3;2;2711;010150007002;01015000700201206;010150007002012061;114,810591342212;201909
1;010150;007002;012;07;1;2;2;2;2;2;2;2;2;3;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2711;010150007002;01015000700201207;010150007002012071;114,810591342212;201909
1;010150;007401;012;01;1;3;3;2;2;2;2;2;2;2;2;2;2;2;1;2;3;1;2;2;2;2;3;3;2713;010150007401;01015000740101201;010150007401012011;53,9848704932353;201909
1;010150;007401;012;02;1;3;3;2;2;2;2;2;2;2;2;2;1;2;3;3;3;2;2;2;3;3;3;3;2713;010150007401;01015000740101202;010150007401012021;53,9848704932353;201909
1;010150;007401;012;03;1;3;3;2;2;2;2;2;2;2;2;2;3;1;1;2;1;2;2;2;3;3;3;3;2713;010150007401;01015000740101203;010150007401012031;53,9848704932353;201909
1;010150;007401;012;04;1;3;3;2;2;2;2;2;2;1;3;2;3;3;1;2;2;2;2;2;3;3;3;3;2713;010150007401;01015000740101204;010150007401012041;53,9848704932353;201909
1;010150;007401;012;05;1;3;3;2;2;2;2;2;2;2;2;2;3;1;2;2;2;2;2;2;2;3;3;3;2713;010150007401;01015000740101205;010150007401012051;53,9848704932353;201909
1;010150;007401;012;08;1;3;3;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;3;3;3;2713;010150007401;01015000740101208;010150007401012081;53,9848704932353;201909
1;010150;007401;012;10;1;3;3;2;2;2;2;2;2;2;2;2;3;1;1;2;2;2;2;2;3;3;3;3;2713;010150007401;01015000740101210;010150007401012101;53,9848704932353;201909
1;010150;007501;009;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;010150007501;01015000750100901;010150007501009011;117,717797656257;201909
1;010150;007501;009;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;010150007501;01015000750100902;010150007501009021;117,717797656257;201909
1;010150;007501;009;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;010150007501;01015000750100903;010150007501009031;117,717797656257;201909
1;010150;007501;009;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;010150007501;01015000750100904;010150007501009041;117,717797656257;201909
1;010150;007501;009;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;010150007501;01015000750100905;010150007501009051;117,717797656257;201909
1;010150;007501;009;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2712;010150007501;01015000750100906;010150007501009061;117,717797656257;201909
1;010150;007501;009;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;010150007501;01015000750100907;010150007501009071;117,717797656257;201909
1;010150;007703;009;01;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;3;3;3;3;2711;010150007703;01015000770300901;010150007703009011;239,639870970045;201909
1;010150;007703;009;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2711;010150007703;01015000770300902;010150007703009021;239,639870970045;201909
1;010150;007703;009;03;1;3;2;1;2;2;2;1;2;2;2;3;2;2;2;3;2;2;2;2;2;2;3;3;2711;010150007703;01015000770300903;010150007703009031;239,639870970045;201909
1;010150;007703;009;05;1;2;3;1;1;3;2;1;1;1;2;2;2;2;3;2;2;2;2;2;3;3;3;3;2711;010150007703;01015000770300905;010150007703009051;239,639870970045;201909
1;010150;007703;009;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2711;010150007703;01015000770300906;010150007703009061;239,639870970045;201909
1;010150;007703;009;07;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;3;3;3;2711;010150007703;01015000770300907;010150007703009071;239,639870970045;201909
